username,uuid,online
Axeh99,308fcd27-49a8-4795-a6a0-568eef0ca964,True
Axeh99,ea0bfc12-e24d-3bb6-9b4f-08d7c45763e0,False
Babuchas,128a09b6-f8ee-42e2-a7dc-1d129f14f0d9,True
Babuchas,b1fc4f5c-0082-3658-bbc8-f5b1f7c9fe0c,False
Galesaiz_98,034a558a-8eca-396b-a883-3d79a956e471,False
Galesaiz_98,75565eb8-3a61-4e77-be18-802cbad0ff03,True
Juanjosanta98,9dd81897-ad89-4b35-88f9-4996edb77eef,True
Juanjosanta98,a4cb514b-e369-3586-8af0-077642b28d7f,False
lusicraft,0c93a669-87cf-3a6d-99ce-32755c10587e,False
lusicraft,4530d13c-c8f3-4350-9c2d-392aa53f15e1,True
MICHAELCRAF7,a19c2840-cfae-48c1-99dc-34924446b0f4,True
MICHAELCRAF7,d59c1285-943a-3422-84bd-0b7ad16e35b5,False
SrAlloza,4a618768-4f26-4688-8ab5-6e64f250c62f,True
SrAlloza,be17640b-8471-321e-a355-d2a2859ebda1,False
Tankrus98,1c11e7b1-a3f0-34f7-a9ee-0b2836a53ad2,False
Tankrus98,a9735f66-f779-44e3-974e-814d7da0e54f,True
